,value_param,avg,std
0,0.0,0.8998302103230207,0.0034183720361889635
1,0.025,0.7353343831116249,1.2740935394276753
2,0.05,0.704051893412306,1.169896271197036
3,0.07500000000000001,0.5721302538940143,1.5091712615423984
4,0.1,0.5371368143778642,1.3676283225883736
5,0.125,0.5393649262743447,1.1660067598492665
6,0.15000000000000002,0.4145523671872967,1.5507363856333802
7,0.17500000000000002,0.43080508981407173,1.055012236543313
8,0.2,0.3526914773788995,1.2391706716990223
9,0.225,0.32489845172437837,1.0909962138333813
10,0.25,0.2245353096445724,1.140875402035547
11,0.275,0.12148777649942429,1.1747249467215706
12,0.30000000000000004,0.09347250861022169,1.0908079331342222
13,0.325,0.026948173771778605,1.0593393711882113
14,0.35000000000000003,-0.033910628916422096,1.109304894834596
15,0.375,-0.10886655347969623,1.1180036572784653
16,0.4,-0.16805078781573174,1.0717221826101286
17,0.42500000000000004,-0.2203164818095779,1.055817753982361
18,0.45,-0.3165907498698569,1.0432786412229678
19,0.47500000000000003,-0.37457786629326834,1.0514303124222033
20,0.5,-0.42886050810601545,0.9987989767748335
21,0.525,-0.5263856795367846,1.0201195958781955
22,0.55,-0.5658777092783459,0.9677674758070454
23,0.5750000000000001,-0.631523387837279,0.9624156884065048
24,0.6000000000000001,-0.703161950123968,0.916624416575963
25,0.625,-0.7630038049048175,0.881676641139879
26,0.65,-0.8419340729047665,0.8608374130322816
27,0.675,-0.8819059543272999,0.8290340507578866
28,0.7000000000000001,-0.9323108231594226,0.7940131757448824
29,0.7250000000000001,-1.017328364359522,0.723258394147467
30,0.75,-1.093017115120978,0.6616999673066121
31,0.775,-1.1142208256580917,0.6790353957545839
32,0.8,-1.1760875351819964,0.6119988085122567
33,0.8250000000000001,-1.2117414799754467,0.5928035182834377
34,0.8500000000000001,-1.2239147906239602,0.5448236735441239
35,0.875,-1.2575070728694697,0.5146766840413902
36,0.9,-1.292295644870102,0.4676540253773453
37,0.925,-1.3206355741870612,0.45764813506542534
38,0.9500000000000001,-1.3325622947938598,0.4531509372544066
39,0.9750000000000001,-1.362514250003557,0.4321188084475122
