"Step","algo_type: robust - reward","algo_type: robust - reward__MIN","algo_type: robust - reward__MAX","algo_type: vanilla - reward","algo_type: vanilla - reward__MIN","algo_type: vanilla - reward__MAX","algo_type: r2 - reward","algo_type: r2 - reward__MIN","algo_type: r2 - reward__MAX"
"42","-1.0680258316175937","-10.84230748038745","0.8866507027202732","0.16830891248390084","-2.516138366154829","0.8898143724440591","-0.7419211827654729","-6.729328643262333","0.8704635793010407"
"43","-0.0031722336085516483","-4.010752445158676","0.9032368384188478","-0.3163257711885787","-9.272088755232819","0.897188804606804","-0.28010496115647776","-5.377453558663687","0.8916283401360416"
"44","-0.5042818731801948","-7.595872554544468","0.8996727819637028","0.2511355789179101","-2.5417690237881305","0.9006766315891838","-0.039219223491329586","-4.954724362818702","0.8952726025226891"
"45","-0.15048175993884716","-3.7081323733076506","0.8823811207694955","0.2396786761135362","-2.304683230452578","0.8985236761435484","-0.42630963259244903","-5.161274573163404","0.8855073810303583"
"46","-0.11592710230239375","-3.666920629578833","0.9015081882457499","0.43296898866063993","-3.3004825923203915","0.9018686578512778","-0.45280518916234047","-6.6739913041613494","0.8917321227573096"
"47","-0.2882861812173823","-7.195836496404118","0.8991419377225719","0.3541223108364768","-2.929093599748459","0.9048711363723412","0.2181624809120089","-3.99957880259233","0.8986189710074269"
"48","0.14746385789366895","-2.524433350009775","0.9065644740609151","0.23551868589509894","-5.497138895917143","0.904925810270882","-0.2935107706353435","-4.676089829302026","0.90298076278734"
"49","0.09540943960388366","-3.2428430372352124","0.8989222752620065","0.14120220029027972","-4.993744604391025","0.9045700385639506","0.5119188114532076","-1.8281282336547084","0.9014067174247976"
"50","-0.38366027555538457","-8.399855761834045","0.8893533385655277","0.506207107297585","-2.493046790937868","0.9025862964031462","-0.033886883651341314","-5.412826813745286","0.8991203911844188"
"51","0.204791617106474","-2.2352336636250536","0.8993655469471843","0.6096203484581056","-1.2610950492525332","0.9066151816334149","0.3313720178343956","-1.6580874009920703","0.9027559572096455"
"52","0.09795479284892009","-4.240854934959919","0.9020245521890053","0.522725502592362","-2.675490797366012","0.905490312071583","0.3793307777781297","-2.090292774922079","0.9003807088117225"
